song_name,artist_name,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,song_popularity
Crawling In The Dark,Hoobastank,175026,0.000295,0.592,0.932,7.59E-05,6,0.138,-4.491,0,0.0885,93.675,4,0.698,61
I Stand Alone,Godsmack,246040,4.78E-05,0.213,0.93,0,0,0.126,-4.478,1,0.0671,169.221,4,0.386,67
Woman,Wolfmother,176306,5.10E-05,0.219,0.952,0.0989,2,0.157,-3.621,1,0.176,112.886,1,0.172,63
Show Me How to Live,Audioslave,277840,0.000336,0.433,0.854,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,0.368,72
The Red,Chevelle,238400,0.000671,0.509,0.843,0.000803,1,0.348,-3.318,0,0.0488,140.055,3,0.332,71
Remedy,Seether,207213,0.00018,0.546,0.959,0.00144,8,0.0584,-4.664,1,0.082,127.831,4,0.416,70
Plug In Baby,Muse,218000,6.94E-06,0.408,0.965,0.000402,2,0.11,-4.232,1,0.05,136.018,4,0.349,65
Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,299533,0.000249,0.269,0.853,0.000246,7,0.118,-4.647,0,0.0854,141.581,4,0.179,69
Judith,A Perfect Circle,247266,3.32E-05,0.365,0.894,0.171,11,0.267,-4.682,0,0.0572,82.305,3,0.31,66
MIA (feat. Drake),Bad Bunny,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0,0.0544,97.064,4,0.174,94
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,212500,0.153,0.841,0.798,3.33E-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591,98
White Boi,Dillon Francis,185282,0.0983,0.83,0.497,0,1,0.0906,-6.94,1,0.052,127.965,4,0.634,59
Just Wanna Love You (feat. J. Balvin),Cris Cab,199230,0.0557,0.687,0.766,0.00107,11,0.146,-6.08,1,0.054,94.973,4,0.303,73
Beautiful (feat. Camila Cabello),Bazzi,180000,0.346,0.638,0.717,0,2,0.105,-4.722,1,0.0337,100.027,4,0.249,94
Celoso,Lele Pons,179693,0.352,0.746,0.703,0,4,0.331,-4.179,0,0.107,166.043,4,0.667,87
Good Vibes,Fuego,235720,0.0348,0.823,0.63,6.72E-06,7,0.0964,-3.932,1,0.0797,100.04,4,0.184,73
Real Friends,Camila Cabello,223583,0.235,0.701,0.512,5.07E-06,0,0.135,-6.869,0,0.0969,91.947,4,0.663,85
Pa La Calle,COASTCITY,243487,0.117,0.695,0.884,0,0,0.104,-6.279,1,0.131,74.992,4,0.854,61
Pa Mí,Dalex,210865,0.716,0.722,0.584,0.000321,11,0.115,-8.467,0,0.318,169.978,4,0.646,58
Wake Up in the Sky,Gucci Mane,204664,0.00381,0.8,0.578,0,4,0.359,-5.144,0,0.0485,143.01,4,0.367,92
Está Rico,Marc Anthony,215151,0.266,0.817,0.74,0,11,0.0992,-4.566,0,0.283,130.04,4,0.674,83
Banana Clip - Spanish Version,Miguel,202373,0.107,0.398,0.66,0,1,0.121,-5.626,0,0.12,83.828,4,0.719,57
YAKWTFGO (feat. Kali Uchis),BIA,162733,0.00397,0.812,0.748,0,5,0.174,-5.959,0,0.139,132.035,4,0.158,44
Come With Me,Kap G,157461,0.0526,0.659,0.734,2.48E-06,10,0.242,-4.008,1,0.046,161.971,4,0.346,47
Como Si Na,Melii,170997,0.232,0.705,0.778,0,9,0.244,-4.101,0,0.177,160.099,4,0.709,54
Blah,Mariah,188440,0.0255,0.723,0.687,0.000207,11,0.124,-4.632,0,0.2,173.747,4,0.777,47
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),A.CHAL,253714,0.0257,0.928,0.402,0,8,0.0804,-7.569,0,0.451,139.998,4,0.62,64
Mi Infinita,Cuco,272000,0.902,0.465,0.675,0.267,10,0.11,-7.555,1,0.0485,119.941,4,0.129,56
Coqueta,Katzù Oso,174000,0.571,0.632,0.652,0.85,4,0.194,-10.558,1,0.0302,115.031,4,0.594,49
Sola,Jessie Reyez,209573,0.921,0.471,0.179,0,9,0.101,-10.273,1,0.089,174.273,4,0.194,65
Nuestro Planeta (feat. Reykon),Kali Uchis,202754,0.0857,0.871,0.545,0.000499,0,0.0756,-6.466,0,0.0625,96.035,4,0.415,52
Hijo de Su Madre,Omar Apollo,178009,0.0646,0.829,0.606,0.391,5,0.281,-7.093,1,0.149,118.051,4,0.732,61
Lento,Rudy Mancuso,169251,0.149,0.837,0.649,7.63E-05,11,0.103,-5.26,0,0.192,164.002,4,0.948,65
Dicen,Matt Hunter,220826,0.137,0.817,0.635,7.85E-06,5,0.245,-5.719,0,0.138,103.029,4,0.777,77
BEBE,6ix9ine,217822,0.172,0.635,0.902,0,0,0.125,-3.559,1,0.109,102.063,4,0.286,95
I Like It,Cardi B,253390,0.099,0.816,0.726,0,5,0.372,-3.998,0,0.129,136.048,4,0.65,95
Zooted (feat. French Montana & Farruko),Becky G,217652,0.267,0.815,0.626,1.31E-05,6,0.275,-5.139,1,0.103,109.989,4,0.571,74
Havana - Remix,Camila Cabello,199095,0.398,0.751,0.579,2.28E-05,2,0.133,-4.036,1,0.0321,105.031,4,0.349,77
Pum Pum,Sammi Sanchez,185743,0.0749,0.736,0.906,0.000123,4,0.12,-1.49,0,0.0566,93.013,4,0.611,45
Quiero Saber,Jesse Baez,166253,0.00245,0.695,0.818,3.36E-06,6,0.305,-5.532,0,0.0482,102.976,4,0.599,52
Como,Kim Viera,234373,0.00323,0.543,0.847,0,9,0.0551,-3.574,1,0.0659,92.046,4,0.65,38
Anywhere Contigo,Breakfast n Vegas,193846,0.271,0.841,0.841,2.60E-05,9,0.108,-4.288,1,0.0633,104.01,4,0.823,46
No Gratis,Messiah,208800,0.425,0.777,0.546,0,7,0.0809,-9.504,1,0.207,147.173,4,0.952,44
Díganle - Tainy Remix,Leslie Grace,211437,0.102,0.84,0.789,0,1,0.309,-4.695,0,0.0949,92.018,4,0.619,75
Sangria Wine,Pharrell Williams,202853,0.181,0.831,0.713,0,1,0.0572,-3.646,0,0.094,132.109,4,0.69,75
All Day,DaniLeigh,198386,0.0797,0.825,0.481,0,2,0.239,-8.6,1,0.0396,121.046,4,0.761,45
Just As I Am,Spiff TV,224413,0.235,0.682,0.751,0,8,0.11,-5.812,0,0.0675,129.937,4,0.708,53
Nice & Slow,Nina Sky,218448,0.00694,0.799,0.616,0.00237,5,0.283,-4.599,0,0.0415,127.023,4,0.697,38
Scooby Doo Pa Pa (Remix),Dj Kass,176702,0.196,0.921,0.965,0.000201,1,0.323,-1.396,1,0.178,120.902,4,0.507,60
Don't Werk,Paula DeAnda,133120,0.108,0.703,0.617,5.61E-05,7,0.271,-8.732,1,0.0731,123.159,4,0.435,39
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,88
Pa Mi (with Ozuna),Tory Lanez,216689,0.0983,0.596,0.557,0,1,0.0565,-7.522,0,0.134,133.247,5,0.661,77
Lo Siento,SUPER JUNIOR,226183,0.0705,0.746,0.738,0,9,0.043,-3.67,1,0.207,94.808,4,0.63,68
Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,215003,0.0079,0.493,0.825,0,8,0.129,-4.056,1,0.0798,99.866,4,0.621,46
La Hora Loca,Jackie Cruz,175239,0.0429,0.836,0.725,0,7,0.108,-5.445,0,0.0571,126.035,4,0.76,44
Dinero - English Version,Trinidad Cardona,161093,0.00436,0.701,0.779,0,11,0.121,-4.657,0,0.0647,119.974,4,0.451,37
Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,182224,0.149,0.871,0.563,0,10,0.0568,-8.329,0,0.0795,91.998,4,0.62,53
Hora Loca,DJ Africa,215421,0.0507,0.65,0.801,0,7,0.0645,-5.407,0,0.0723,166.16,4,0.74,65
Better With You,Michl,196018,0.265,0.784,0.437,6.98E-05,5,0.126,-7.868,1,0.0509,90.003,4,0.47,68
NIGHTS LIKE THESE,Ne-Yo,204453,0.133,0.494,0.729,0,2,0.143,-4.934,1,0.161,78.833,4,0.421,59
Alright,Anthony Ramos,229038,0.0199,0.561,0.58,0,5,0.0619,-5.612,1,0.0414,84.98,4,0.294,43
Insecure,Amara La Negra,191906,0.369,0.483,0.685,0,10,0.0817,-3.232,0,0.174,185.502,4,0.546,53
Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,237860,0.0762,0.62,0.823,3.13E-05,5,0.112,-2.436,1,0.0567,175.921,4,0.404,54
Finesse (Remix) [feat. Cardi B],Bruno Mars,217288,0.0185,0.704,0.859,0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926,84
Belong To U,Fancy Cars,202574,0.586,0.633,0.765,6.89E-05,1,0.0966,-5.732,1,0.0474,100.934,4,0.489,44
Sunny Daze,Salaam Remi,167823,0.569,0.853,0.714,0.0101,7,0.0716,-6.177,1,0.0767,92.375,4,0.836,40
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",N.O.R.E.,241135,0.0652,0.8,0.837,4.52E-05,7,0.0699,-4.488,1,0.099,105.026,4,0.813,41
Island,Lil Eddie,194011,0.118,0.743,0.793,6.07E-05,2,0.227,-5.032,0,0.0546,109.921,4,0.434,37
Crazy In Love,Beyoncé,236133,0.00249,0.646,0.77,0,2,0.0715,-6.596,0,0.226,99.165,4,0.681,79
Rock Your Body,Justin Timberlake,267266,0.202,0.891,0.714,0.000234,4,0.0521,-6.055,0,0.14,100.972,4,0.818,74
Beautiful Girls,Sean Kingston,241933,0.159,0.745,0.666,0,9,0.302,-5.899,1,0.0566,129.995,4,0.708,10
Toxic,Britney Spears,198813,0.0279,0.774,0.847,0.0183,5,0.241,-3.925,0,0.121,143.011,4,0.923,60
Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,300026,0.342,0.672,0.832,0.000428,11,0.242,-2.388,0,0.342,117.298,4,0.549,70
Yeah!,Usher,250373,0.0183,0.894,0.791,0,2,0.0388,-4.699,1,0.112,105.018,4,0.583,79
Live Your Life (feat. Rihanna),T.I.,338853,0.071,0.375,0.862,0,11,0.211,-3.363,0,0.255,159.841,4,0.478,76
Hips Don't Lie,Shakira,218093,0.284,0.778,0.824,0,10,0.405,-5.892,0,0.0712,100.024,4,0.756,84
"Hey, Soul Sister",Train,216666,0.217,0.675,0.885,0,1,0.086,-4.432,0,0.0436,97.03,4,0.768,77
Pumped Up Kicks,Foster The People,239600,0.145,0.733,0.71,0.115,5,0.0956,-5.849,0,0.0292,127.975,4,0.965,84
Love Never Felt so Good,Michael Jackson,246026,0.132,0.775,0.719,1.79E-06,7,0.0662,-6.212,0,0.0435,117.513,4,0.712,74
Hall of Fame,The Script,202533,0.0653,0.421,0.873,0,10,0.123,-4.343,1,0.0565,84.803,4,0.63,73
All of Me,John Legend,269560,0.922,0.422,0.264,0,8,0.132,-7.064,1,0.0322,119.93,4,0.331,85
Drops of Jupiter,Train,259933,0.154,0.468,0.64,0,0,0.154,-5.862,1,0.0275,79.297,4,0.499,78
We Can't Stop,Miley Cyrus,231240,0.00882,0.613,0.622,0,1,0.37,-5.794,0,0.0334,80.003,4,0.484,78
Fighter,Christina Aguilera,245960,0.235,0.435,0.92,0.000353,4,0.552,-1.357,0,0.201,188.899,4,0.45,69
Since U Been Gone,Kelly Clarkson,188960,0.00165,0.662,0.741,0.0303,0,0.114,-5.406,1,0.0334,131,4,0.404,75
Hey Ya! - Radio Mix / Club Mix,OutKast,235213,0.103,0.728,0.974,0.000532,4,0.175,-2.261,0,0.0665,79.526,4,0.965,76
TiK ToK,Kesha,199693,0.0746,0.755,0.832,1.27E-06,2,0.291,-2.741,0,0.116,120.032,4,0.735,71
Look At Me Now,Chris Brown,223933,0.0439,0.764,0.694,3.67E-06,11,0.18,-5.745,0,0.189,146.075,4,0.581,71
SexyBack,Justin Timberlake,242733,0.0584,0.967,0.583,0,7,0.0519,-5.562,0,0.0789,117,4,0.964,77
With You,Chris Brown,252160,0.143,0.659,0.696,0,3,0.13,-4.291,1,0.071,86.001,4,0.665,69
Breakeven,The Script,261426,0.173,0.63,0.698,0,10,0.0789,-4.51,1,0.0244,94.023,4,0.529,76
I Know You Want Me (Calle Ocho),Pitbull,237120,0.0142,0.824,0.743,2.12E-05,2,0.237,-5.995,1,0.141,127.046,4,0.804,65
Bye Bye Bye,*NSYNC,200400,0.031,0.61,0.926,0.0012,8,0.0821,-4.843,0,0.0479,172.638,4,0.861,73
Complicated,Avril Lavigne,244506,0.0572,0.585,0.776,7.74E-06,5,0.3,-5.898,1,0.0459,77.987,4,0.427,77
Let Me Love You,Mario,256733,0.235,0.656,0.578,0,7,0.118,-8.97,0,0.0922,94.514,4,0.556,80
Beautiful,Christina Aguilera,238560,0.578,0.457,0.573,3.05E-06,5,0.114,-3.866,0,0.0275,76.193,4,0.0992,73
Raise Your Glass,P!nk,203306,0.00611,0.701,0.7,0,7,0.0295,-4.934,1,0.0876,122.035,4,0.625,54
Timber,Pitbull,204160,0.0295,0.581,0.963,0,11,0.139,-4.087,1,0.0981,129.992,4,0.788,75
What Makes You Beautiful,One Direction,198053,0.00761,0.729,0.771,0,4,0.087,-2.451,1,0.0725,125.011,4,0.873,69
No One,Alicia Keys,253813,0.03,0.649,0.552,6.47E-06,1,0.111,-5.419,0,0.0292,89.969,4,0.158,79
Sk8er Boi,Avril Lavigne,204000,6.79E-05,0.487,0.9,0,0,0.358,-4.417,1,0.0482,149.937,4,0.484,67
Womanizer,Britney Spears,224400,0.073,0.724,0.695,0,11,0.0889,-5.226,1,0.0622,139,4,0.235,76
Give Me Everything,Pitbull,252306,0.192,0.671,0.939,0,8,0.298,-3.206,1,0.161,129.023,4,0.529,75
Single Ladies (Put a Ring on It),Beyoncé,193213,0.0383,0.426,0.584,0,1,0.188,-5.293,1,0.296,193.437,4,0.272,72
Bleeding Love,Leona Lewis,262466,0.188,0.638,0.656,0,5,0.146,-5.886,1,0.0357,104.036,4,0.225,81
Lose My Breath,Destiny's Child,242013,0.00727,0.814,0.899,0.219,1,0.0979,-5.958,1,0.0637,119.011,4,0.545,63
Love Song,Sara Bareilles,258826,0.0208,0.583,0.786,0,2,0.188,-3.142,0,0.0301,123.052,4,0.573,77
Ms. Jackson,OutKast,270506,0.142,0.843,0.805,0,4,0.0771,-5.946,0,0.269,94.946,4,0.615,78
Die Young,Kesha,211920,0.00498,0.711,0.7,0.000125,1,0.215,-4.805,0,0.046,128.001,4,0.801,72
Survivor,Destiny's Child,254040,0.0533,0.524,0.904,0,8,0.776,-2.071,1,0.398,161.188,4,0.655,62
Oops!...I Did It Again,Britney Spears,211160,0.3,0.751,0.834,1.77E-05,1,0.355,-5.444,0,0.0437,95.053,4,0.894,77
Cry Me a River,Justin Timberlake,288333,0.575,0.624,0.653,0,8,0.104,-6.582,0,0.176,73.884,4,0.565,77
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,248413,0.0426,0.794,0.811,1.07E-06,6,0.101,-8.966,0,0.038,116.047,4,0.862,77
Whatever You Like,T.I.,249533,0.0161,0.68,0.687,0,9,0.261,-6.162,0,0.0709,150.053,4,0.467,75
"One, Two Step",Ciara,203786,0.042,0.944,0.511,0.00107,5,0.0379,-10.96,0,0.161,113.046,4,0.842,78
Unwritten,Natasha Bedingfield,259333,0.00577,0.706,0.801,0,5,0.0822,-6.333,1,0.0399,100.013,4,0.63,77
Wrecking Ball,Miley Cyrus,221360,0.407,0.53,0.422,0,5,0.107,-6.262,1,0.0342,119.964,4,0.349,74
So What,P!nk,215160,0.000304,0.535,0.886,2.26E-06,11,0.257,-3.106,1,0.045,126.012,4,0.445,65
"Whenever, Wherever",Shakira,196160,0.236,0.793,0.832,1.12E-05,1,0.202,-4.862,0,0.0406,107.661,4,0.872,76
Baby Boy,Beyoncé,244826,0.0825,0.655,0.488,1.16E-06,1,0.221,-9.17,1,0.22,91.025,4,0.791,69
It's Gonna Be Me,*NSYNC,192426,0.0407,0.636,0.873,1.27E-06,0,0.0372,-4.672,0,0.071,165.071,4,0.908,67
My Boo,Usher,223440,0.257,0.662,0.507,0,5,0.0465,-8.238,1,0.118,86.412,4,0.676,77
Sex on Fire,Kings of Leon,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374,81
Stronger (What Doesn't Kill You),Kelly Clarkson,221920,0.0411,0.555,0.923,0,0,0.112,-5.908,1,0.0482,116.012,4,0.682,52
Over My Head (Cable Car),The Fray,236373,0.0204,0.591,0.699,0,8,0.0614,-5.221,1,0.0449,116.029,4,0.733,60
For the First Time,The Script,252853,0.0328,0.396,0.629,0,9,0.183,-4.78,1,0.0287,173.794,4,0.358,65
Girlfriend,Avril Lavigne,216600,0.000738,0.56,0.959,0.000206,7,0.209,-2.433,1,0.102,163.983,4,0.67,69
Fallin',Alicia Keys,210200,0.263,0.653,0.609,0.00101,11,0.233,-7.519,0,0.037,95.982,3,0.482,76
Use Somebody,Kings of Leon,230760,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173,79
How to Save a Life,The Fray,262533,0.269,0.64,0.743,0,10,0.101,-4.08,1,0.0379,122.035,4,0.361,83
Not Over You,Gavin DeGraw,218520,0.255,0.63,0.894,0,10,0.181,-4.592,1,0.0544,142.051,4,0.364,69
Before He Cheats,Carrie Underwood,199946,0.271,0.519,0.749,0,6,0.119,-3.318,0,0.0405,147.905,4,0.29,73
Dirrty (feat. Redman),Christina Aguilera,298853,0.107,0.64,0.889,0,2,0.339,-3.073,1,0.322,99.931,4,0.436,72
Caught Up,Usher,224946,0.0251,0.815,0.808,5.37E-06,6,0.12,-4.614,1,0.0511,110.063,4,0.746,31
If I Ain't Got You,Alicia Keys,228706,0.603,0.609,0.445,6.77E-06,7,0.104,-9.129,1,0.106,118.393,3,0.166,81
Wherever You Will Go,The Calling,209360,0.0392,0.551,0.696,0,2,0.127,-6.192,1,0.0265,112.024,4,0.354,67
You Found Me,The Fray,241853,0.0187,0.338,0.803,0,8,0.136,-5.412,0,0.0413,151.994,4,0.4,76
"Independent Women, Pt. 1",Destiny's Child,221626,0.388,0.517,0.598,2.22E-06,6,0.183,-3.751,0,0.263,96.933,4,0.922,63
Because of You,Kelly Clarkson,219493,0.254,0.583,0.584,0,5,0.123,-5.362,0,0.0314,140.039,4,0.136,75
Get The Party Started,P!nk,191666,0.00127,0.806,0.902,0,11,0.212,-3.387,0,0.0475,128.943,4,0.961,67
The Anthem,Good Charlotte,175093,0.00666,0.494,0.939,0,1,0.139,-3.127,1,0.126,177.751,4,0.893,73
I Don't Want to Be,Gavin DeGraw,217760,0.00791,0.423,0.862,0,0,0.133,-5.13,0,0.0695,154.746,4,0.462,63
The Way You Move (feat. Sleepy Brown) - Club Mix,OutKast,234000,0.126,0.871,0.597,0.000115,5,0.0638,-4.932,0,0.0464,125.999,4,0.635,68
Better in Time,Leona Lewis,234173,0.512,0.584,0.7,2.43E-05,6,0.13,-4.251,1,0.0506,163.953,4,0.549,73
Over You,Daughtry,204853,0.017,0.423,0.922,0,3,0.102,-2.602,1,0.0411,156.063,4,0.567,64
The Great Escape,Boys Like Girls,206520,0.00166,0.423,0.94,0,1,0.178,-4.012,0,0.0635,149.934,4,0.505,67
Your Body Is a Wonderland,John Mayer,249626,0.0206,0.647,0.729,0.0489,5,0.134,-6.251,1,0.0236,94.01,4,0.687,78
Superman (It's Not Easy),Five For Fighting,222000,0.327,0.521,0.431,0,0,0.0986,-9.74,1,0.0293,106.546,4,0.181,48
Vivir Mi Vida,Marc Anthony,251160,0.324,0.65,0.879,0,8,0.376,-3.176,1,0.0328,105.015,4,0.899,68
La Vida Es Un Carnaval,Celia Cruz,275253,0.439,0.82,0.717,0.00107,8,0.236,-6.191,1,0.0722,104.005,4,0.843,24
Lambada - Original Version 1989,Kaoma,207466,0.211,0.756,0.8,0.000723,5,0.047,-5.158,1,0.0329,118.921,4,0.967,67
La Camisa Negra,Juanes,216706,0.0838,0.751,0.731,0,6,0.0556,-4.419,0,0.0308,97.007,4,0.973,29
La Gota Fría,Carlos Vives,215493,0.0893,0.719,0.809,0,1,0.183,-10.201,1,0.0511,100.839,4,0.964,66
Suavemente,Elvis Crespo,267000,0.254,0.811,0.88,0.00146,8,0.0475,-2.972,1,0.0628,124.12,4,0.915,63
Bailando - Spanish Version,Enrique Iglesias,243413,0.0426,0.723,0.777,3.68E-06,7,0.0451,-3.503,1,0.108,91.017,4,0.961,71
Danza Kuduro,Don Omar,198786,0.078,0.699,0.917,0,0,0.065,-4.897,1,0.115,130.04,4,0.889,71
Conga,Miami Sound Machine,252933,0.141,0.782,0.874,0.0584,2,0.112,-7.157,1,0.0474,123.179,4,0.859,59
